18	1015	29	35	5	0
3	1005	22	41	0	0
17	1020	21	53	10	0
19	1019	22	39	6	0
2	1018	27	47	2	0
3	1008	23	51	9	0
4	1000	23	38	5	0
18	1007	30	44	6	0
3	1013	24	33	12	0
23	1003	30	55	15	0
20	1019	21	55	0	0
21	1014	24	65	8	0
8	1004	25	60	15	0
15	1002	29	46	6	0
1	1017	23	58	15	0
15	1018	24	38	2	0
20	1004	26	43	2	0
20	1005	30	46	6	0
-1	1005	27	69	13	0
18	1003	26	63	15	0
6	1018	27	70	9	0
7	1002	27	58	14	0
10	1004	20	48	15	0
10	1005	27	47	4	0
5	1014	20	45	1	0
5	1004	25	41	10	0
8	1001	21	31	0	0
19	1001	25	55	9	0
21	1011	21	30	5	0
12	1000	30	39	5	0
19	1016	25	69	5	0
0	1010	30	68	14	0
0	1006	29	34	12	0
-2	1005	20	56	1	0
4	1012	30	59	6	0
3	1002	21	52	15	0
17	1018	26	54	14	0
5	1007	26	37	0	0
23	1004	24	31	11	0
14	1001	26	59	8	0
7	1009	27	63	10	0
-2	1010	23	61	9	0
11	1004	23	67	14	0
-2	1002	29	31	11	0
21	1007	29	64	7	0
15	1016	25	60	2	0
5	1016	24	58	9	0
17	1008	21	41	4	0
2	1015	23	51	12	0
23	1016	20	63	7	0
17	1009	21	66	3	0
11	1003	27	64	14	0
22	1000	25	48	9	0
24	1010	23	62	10	0
10	1007	27	59	15	0
0	1013	28	38	1	0
20	1018	28	51	13	0
24	1001	29	30	9	0
20	1010	24	47	5	0
5	1005	25	41	5	0
17	1007	27	50	5	0
21	1002	26	36	6	0
22	1013	24	36	3	0
11	1003	20	60	3	0
3	1001	24	50	13	0
25	1017	27	59	8	0
0	1003	22	56	5	0
12	1018	27	63	13	0
12	1019	21	64	12	0
14	1009	28	54	15	0
9	1016	22	67	4	0
22	1013	20	59	8	0
12	1011	20	70	10	0
5	1006	25	53	15	0
14	1013	25	68	5	0
12	1011	21	37	9	0
8	1005	24	53	5	0
16	1000	22	49	11	0
-2	1017	26	42	11	0
22	1000	27	58	7	0
6	1006	30	42	3	0
6	1009	22	60	15	0
24	1001	28	68	13	0
-1	1003	30	43	4	0
7	1019	25	44	11	0
11	1005	23	43	4	0
12	1015	23	48	12	0
10	1000	21	41	7	0
10	1009	21	37	1	0
12	1011	30	67	14	0
0	1008	20	38	6	0
7	1001	24	51	6	0
18	1019	28	68	0	0
24	1018	22	43	5	0
8	1008	27	60	8	0
-1	1015	30	31	1	0
7	1001	25	63	12	0
6	1017	20	58	14	0
14	1005	30	57	5	0
-2	1006	28	41	11	0
20	1015	27	66	6	0
0	1014	25	49	14	0
23	1016	23	65	1	0
15	1011	24	45	10	0
4	1013	27	58	7	0
14	1006	30	60	14	0
-1	1016	23	40	13	0
15	1017	25	31	9	0
1	1011	28	44	15	0
3	1011	25	69	2	0
15	1019	30	54	7	0
23	1007	24	43	10	0
17	1006	22	53	14	0
22	1001	21	57	14	0
-2	1018	25	51	8	0
20	1001	25	31	6	0
21	1007	24	39	9	0
5	1011	25	70	12	0
23	1006	30	56	8	0
15	1009	23	53	9	0
20	1000	26	63	11	0
20	1006	21	36	6	0
6	1003	29	57	15	0
0	1016	21	51	13	0
2	1014	29	66	8	0
7	1018	20	57	7	0
-2	1012	24	37	11	0
24	1015	28	61	15	0
13	1013	27	40	13	0
6	1001	22	34	11	0
5	1016	29	64	15	0
11	1009	24	70	5	0
24	1012	20	40	7	0
6	1012	29	67	0	0
-1	1000	21	70	13	0
17	1010	27	58	10	0
23	1009	20	46	9	0
-2	1000	29	69	14	0
5	1009	30	30	7	0
12	1007	21	51	7	0
11	1011	23	69	7	0
10	1018	20	31	3	0
23	1013	26	54	12	0
23	1006	20	42	9	0
17	1014	24	55	4	0
11	1001	25	46	7	0
3	1014	20	38	4	0
8	1005	28	53	6	0
3	1016	30	53	4	0
11	1020	23	51	7	0
8	1001	27	61	12	0
16	1014	23	49	10	0
10	1014	25	52	2	0
3	1007	20	32	7	0
6	1019	26	37	14	0
10	1012	23	37	3	0
0	1000	24	49	1	0
8	1006	21	32	0	0
25	1017	21	66	4	0
17	1002	25	66	4	0
7	1003	27	49	14	0
7	1012	26	38	13	0
21	1005	22	65	15	0
9	1002	28	38	6	0
1	1002	20	67	1	0
0	1011	20	45	3	0
21	1004	22	70	10	0
9	1016	30	33	2	0
15	1012	28	47	14	0
15	1020	22	54	8	0
21	1002	25	37	8	0
17	1017	23	70	10	0
15	1013	23	51	11	0
19	1015	22	57	9	0
25	1018	23	40	9	0
25	1020	26	56	5	0
24	1004	23	69	9	0
5	1017	28	63	8	0
-2	1002	24	52	8	0
13	1012	30	55	0	0
3	1012	26	64	5	0
24	1004	27	61	14	0
20	1010	22	47	14	0
21	1005	30	68	1	0
8	1019	20	66	8	0
2	1007	23	37	5	0
7	1010	24	63	0	0
3	1008	24	64	1	0
20	1004	20	61	7	0
16	1003	29	41	12	0
15	1005	30	65	2	0
5	1014	27	49	15	0
19	1000	22	46	11	0
22	1015	23	48	4	0
0	1015	21	46	5	0
5	1009	28	63	2	0
9	1001	24	54	12	0
5	1019	24	33	11	0
6	1009	20	67	4	0
9	1003	28	66	3	0
25	1020	37	34	1	1
23	1010	12	24	4	1
22	1017	38	27	1	1
23	1030	29	38	1	1
25	1030	37	33	2	1
22	1019	33	23	2	1
22	1020	22	27	1	1
24	1011	25	26	5	1
26	1023	34	18	1	1
27	1010	21	33	5	1
24	1024	18	15	3	1
24	1016	14	20	1	1
24	1010	11	32	0	1
28	1016	25	37	5	1
21	1025	19	40	5	1
20	1019	16	31	5	1
27	1028	17	34	0	1
25	1028	15	16	5	1
24	1011	19	33	1	1
24	1030	28	36	5	1
26	1029	36	34	1	1
25	1030	34	17	5	1
27	1019	29	19	0	1
25	1022	14	34	3	1
22	1017	38	18	0	1
23	1012	21	38	3	1
25	1028	26	32	5	1
21	1029	12	24	4	1
21	1027	30	39	1	1
20	1018	18	30	5	1
23	1018	10	15	1	1
25	1021	19	18	3	1
20	1017	27	30	5	1
24	1024	27	29	3	1
22	1020	31	33	2	1
23	1023	25	23	1	1
22	1014	26	32	0	1
27	1024	36	37	0	1
27	1013	29	31	1	1
22	1011	15	23	5	1
22	1018	31	16	0	1
28	1019	34	34	1	1
25	1030	33	18	0	1
26	1029	30	28	4	1
27	1023	38	39	3	1
23	1028	21	32	3	1
22	1024	34	17	2	1
26	1027	17	16	1	1
21	1015	19	30	4	1
26	1024	27	19	2	1
23	1027	16	20	5	1
21	1016	28	21	2	1
25	1013	27	23	2	1
26	1022	18	29	5	1
24	1013	19	33	2	1
27	1010	33	32	2	1
21	1028	23	33	5	1
27	1026	24	31	2	1
25	1019	29	18	0	1
21	1021	23	40	0	1
27	1027	30	25	0	1
22	1015	30	23	5	1
27	1024	40	28	2	1
21	1028	13	37	5	1
21	1022	18	37	3	1
28	1023	36	36	5	1
26	1017	20	23	5	1
24	1025	24	23	0	1
24	1011	19	22	4	1
26	1026	34	23	1	1
26	1026	21	21	5	1
27	1027	21	31	5	1
26	1024	29	32	0	1
22	1012	37	29	0	1
23	1019	11	19	3	1
27	1019	16	28	1	1
21	1012	10	18	5	1
22	1011	15	29	0	1
20	1016	35	22	5	1
22	1015	24	38	2	1
27	1013	14	32	2	1
20	1023	20	25	3	1
24	1029	27	17	5	1
24	1012	28	24	5	1
21	1015	31	32	4	1
21	1026	25	33	0	1
21	1010	26	20	2	1
27	1016	28	37	2	1
24	1018	25	20	1	1
23	1015	40	38	5	1
27	1011	18	40	0	1
21	1013	27	19	1	1
